,Indentification,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Degree Centrality,Node
0,OpenSea,0.2682443379947132,0.2705926922273405,0.7018063629804847,0.1642602080422294,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b
1,Uniswap V3,0.2541440633912251,0.1977027657936225,0.0502623711184314,0.1283962117683589,0xe592427a0aece92de3edee1f18e0157c05861564
2,Uniswap V2,0.2485541178308532,0.1669287873918687,0.0272150833164282,0.1158205247632355,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
3,Wrapped Ether,0.243763554068972,0.1194903246867308,0.0641872799970652,0.0721937587331159,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
4,SushiSwap,0.2413300770017515,0.105544761613741,,0.0673808414842415,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f
5,Metamask Swap,0.2352652373702939,0.0901427261098413,,0.0571339854059928,0x881d40237659c251811cec9c364ef91dc08d300c
6,1inch V3,0.2336247555634425,0.0567413853584944,,0.0378823164104952,0x11111112542d85b3ef69ae05771c2dccff4faa26
7,CryptoPunks,,0.0560870978925691,,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb
8,Axie,,0.0537239115487834,,0.0358639962738705,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2
9,,,0.0526710678196067,,,0xb0ca2e19356f763721110b2e0b318883df844cbc
10,,,0.0458883411283909,,,0x1262d7470ce687d5d7eb89db15f5c8a183b3eaa2
11,Tokenlon,,0.0203919441944779,,0.0138177301661232,0x03f34be1bf910116595db1b11e9d1b2ca5d59659
12,0x,,0.019018396429048,,0.0141282409563732,0xdef1c0ded9bec7f1a1670819833240f027b25eff
13,Uniswap V3 NFT,,0.0187089932137096,,0.0166123272783729,0xc36442b4a4522e871399cd717abdd847ab11fe88
14,Lido,,0.014832836919338,,,0xdc24316b9ae028f1497c275eb9192a3ea0f67022
15,,,0.0141536445254286,,,0x25cd9cb6c3a921fdb978591102174bf42e0f795c
16,,,0.0140804479567232,,,0x282c88c36b4c22bcf7fb76f8d86b4f3555eee959
17,,0.2275155544857471,0.0139220622135349,,,0x025b96fac92837546a1cb77560c8627815a85d14
18,Polygon Bridge,,0.013585445173946,,0.0091600683123738,0xa0c68c638235ee32657e8f720a23cec1bfc77c77
19,Aave,,0.0133757949778843,,0.0086943021269989,0xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04
20,,0.2387505393615903,,0.0250131154308556,,0x37dd733885b76beb617abf2c790c1a75eab6f82a
21,,0.2386610302865985,,,,0x09b3ed5392df96c5691a5c3e793acb4dc47d089e
22,,0.2375034901571149,,,,0xe2416008f80c575dca8281e3e600016023c5c105
23,,0.2336104665875671,,,,0x97bbcedf9424a1b1beecf6d62132849bdabd2632
24,,0.2318239335218938,,,,0x53afeb120edce5d778cab7de76d34f5fcd92c7d0
25,,0.2281406718854809,,0.0238514516604528,,0x036d78c5e87e0aa07bf61815d1effe10c9fd5275
26,,0.2280317091765207,,0.0238288219530513,,0xae3f14970b77c4d2aedb6793e377c5dfc7ceba58
27,,0.2271367226871267,,,,0xda641f45869f9c8697be0057a4093678b06bc4f3
28,,0.2252347640468641,,,,0x2406a9333378e30b9581b8356bb81b4f9bdff005
29,,0.224995943019953,,,,0x365c211f49ee7f3667456abb3a130c738884099d
30,,0.224995943019953,,,,0x0737880a1866bfbda9dea62c91ba00df6c79f395
31,,0.224995943019953,,,,0x43851e9f0f192851ce0a3a43e4bb57992884d2c7
32,Kraken,,,,0.0291880142834963,0xfa52274dd61e1643d2205169732f29114bc240b3
33,Arbitrum,,,,0.0085390467318739,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f
34,MonsterBuds,,,,0.007762769756249,0x6317c4cab501655d7b85128a5868e98a094c0082
35,Lido,,,,0.0065207265952491,0xae7ab96520de3a18e5e111b5eaab095312d7fe84
36,Paraswap v5,,,,0.0065207265952491,0xdef171fe48cf0115b1d80b88dc8eab59176fee57
37,RevestPublicSaleBatch,,,,0.0054339388293743,0xa4aaa9d28fe87a1d6f2feba75ee931517671ba47
38,Compound,,,,0.0041918956683744,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5
39,,,,0.0234953422161511,,0x89688542873276cd7d9cea936b25f37778a593fd
40,,,,0.0234728894804398,,0xc40df87e16339f21fbb2e59fb38bf2a957a16ffd
41,,,,0.0234728894804398,,0x95dfdf0306945282016eb50212edf82054c00f96
42,,,,0.0234728894804398,,0x21182c428147a78fee3eadecb59e508ad4f71988
43,,,,0.0234728894804398,,0xb7dc1c26f1b893d4183d8014e341d1c6feb0b257
44,,,,0.0234728894804398,,0x97a6c796fe543cabc2ca7ae026206e8b260c4da0
45,,,,0.0234728894804398,,0xe08091839b13c94c7ef35810bbe252be6b5150d8
46,,,,0.0234728894804398,,0x330565388b508fbd7f77ce6cc532de170fcba499
47,,,,0.0234728894804398,,0x37c8b931c1177c906abfbe9a969b262a032e5168
48,,,,0.0234728894804398,,0x94c8249a0cf419e5dd16526fda745c38f3a0ebea
49,,,,0.0234728894804398,,0x52e1bb7fe65cd596766d375ff02ed341623559e6
50,,,,0.0234728894804398,,0xf4fb9fa23edb32215e5284cf7dbfdb5607d51a5b
51,,,,0.0234728894804398,,0xc51ee0269b665cabb2337450f8b48798817e951f
